momset,momnum,naics,region,gravity,davgrid,dav,orderedvio,laginv,violation,modelmoment1
1,3162,21,5,4,2,1,1,1,1,5.531e-10
1,3182,21,5,4,2,1,2,1,0,5.527e-10
1,3202,21,5,4,2,1,2,1,1,5.529e-10
1,3223,21,5,5,2,1,1,0,0,2.779e-07
1,3243,21,5,5,2,1,1,0,1,9.084e-09
1,3263,21,5,5,2,1,2,0,0,.11471
1,3283,21,5,5,2,1,2,0,1,.01439
1,3303,21,5,5,2,1,1,1,0,-2.709e-11
1,3323,21,5,5,2,1,1,1,1,-2.876e-11
1,3343,21,5,5,2,1,2,1,0,-2.899e-11
1,3363,21,5,5,2,1,2,1,1,-2.891e-11
1,3384,21,6,1,2,1,1,0,0,-1.064e-08
1,3404,21,6,1,2,1,1,0,1,-5.854e-10
1,3424,21,6,1,2,1,2,0,0,.150829
1,3444,21,6,1,2,1,2,0,1,.014321
1,3464,21,6,1,2,1,1,1,0,-1.186e-10
1,3484,21,6,1,2,1,1,1,1,-1.187e-10
1,3504,21,6,1,2,1,2,1,0,-1.188e-10
1,3524,21,6,1,2,1,2,1,1,-1.188e-10
1,3545,21,6,2,2,1,1,0,0,-2.120e-07
1,3565,21,6,2,2,1,1,0,1,-8.392e-09
1,3585,21,6,2,2,1,2,0,0,.145656
1,3605,21,6,2,2,1,2,0,1,.0112164
1,3625,21,6,2,2,1,1,1,0,-8.077e-10
1,3645,21,6,2,2,1,1,1,1,-8.029e-10
1,3665,21,6,2,2,1,2,1,0,-8.028e-10
1,3685,21,6,2,2,1,2,1,1,-8.028e-10
1,3706,21,6,3,2,1,1,0,0,-3.308e-08
1,3726,21,6,3,2,1,1,0,1,-1.746e-09
1,3746,21,6,3,2,1,2,0,0,.1513
1,3766,21,6,3,2,1,2,0,1,.0141756
1,3786,21,6,3,2,1,1,1,0,-2.183e-10
1,3806,21,6,3,2,1,1,1,1,-2.181e-10
1,3826,21,6,3,2,1,2,1,0,-2.181e-10
1,3846,21,6,3,2,1,2,1,1,-2.181e-10
1,3867,21,6,4,2,1,1,0,0,3.896e-09
1,3887,21,6,4,2,1,1,0,1,2.046e-10
1,3907,21,6,4,2,1,2,0,0,.147989
1,3927,21,6,4,2,1,2,0,1,.0119712
1,3947,21,6,4,2,1,1,1,0,6.480e-12
1,3967,21,6,4,2,1,1,1,1,6.557e-12
1,3987,21,6,4,2,1,2,1,0,6.366e-12
1,4007,21,6,4,2,1,2,1,1,6.329e-12
1,4028,21,6,5,2,1,1,0,0,1.458e-08
1,4048,21,6,5,2,1,1,0,1,7.295e-10
1,4068,21,6,5,2,1,2,0,0,.15095
1,4088,21,6,5,2,1,2,0,1,.0140673
1,4108,21,6,5,2,1,1,1,0,-3.704e-12
1,4128,21,6,5,2,1,1,1,1,-3.828e-12
1,4148,21,6,5,2,1,2,1,0,-3.872e-12
1,4168,21,6,5,2,1,2,1,1,-3.894e-12
1,4189,21,7,1,2,1,1,0,0,4.241e-08
1,4209,21,7,1,2,1,1,0,1,2.324e-09
1,4229,21,7,1,2,1,2,0,0,.151549
1,4249,21,7,1,2,1,2,0,1,.0136235
1,4269,21,7,1,2,1,1,1,0,3.974e-11
1,4289,21,7,1,2,1,1,1,1,3.394e-11
1,4309,21,7,1,2,1,2,1,0,3.364e-11
1,4329,21,7,1,2,1,2,1,1,3.468e-11
1,4350,21,7,2,2,1,1,0,0,1.643e-07
1,4370,21,7,2,2,1,1,0,1,6.822e-09
1,4390,21,7,2,2,1,2,0,0,.142433
1,4410,21,7,2,2,1,2,0,1,.010333
1,4430,21,7,2,2,1,1,1,0,1.485e-10
1,4450,21,7,2,2,1,1,1,1,1.308e-10
1,4470,21,7,2,2,1,2,1,0,1.324e-10
1,4490,21,7,2,2,1,2,1,1,1.318e-10
1,4511,21,7,3,2,1,1,0,0,-2.323e-07
1,4531,21,7,3,2,1,1,0,1,-1.341e-08
1,4551,21,7,3,2,1,2,0,0,.151765
1,4571,21,7,3,2,1,2,0,1,.0134384
1,4591,21,7,3,2,1,1,1,0,-2.618e-10
1,4611,21,7,3,2,1,1,1,1,-2.432e-10
1,4631,21,7,3,2,1,2,1,0,-2.455e-10
1,4651,21,7,3,2,1,2,1,1,-2.449e-10
1,4672,21,7,4,2,1,1,0,0,1.404e-07
1,4692,21,7,4,2,1,1,0,1,8.827e-09
1,4712,21,7,4,2,1,2,0,0,.145273
1,4732,21,7,4,2,1,2,0,1,.0111162
1,4752,21,7,4,2,1,1,1,0,1.311e-10
1,4772,21,7,4,2,1,1,1,1,1.227e-10
1,4792,21,7,4,2,1,2,1,0,1.213e-10
1,4812,21,7,4,2,1,2,1,1,1.222e-10
1,4833,21,7,5,2,1,1,0,0,-8.818e-08
1,4853,21,7,5,2,1,1,0,1,-5.369e-09
1,4873,21,7,5,2,1,2,0,0,.151104
1,4893,21,7,5,2,1,2,0,1,.0133356
1,4913,21,7,5,2,1,1,1,0,-7.744e-11
1,4933,21,7,5,2,1,1,1,1,-7.380e-11
1,4953,21,7,5,2,1,2,1,0,-7.494e-11
1,4973,21,7,5,2,1,2,1,1,-7.367e-11
1,4994,21,8,1,2,1,1,0,0,1.870e-07
1,5014,21,8,1,2,1,1,0,1,3.970e-09
1,5034,21,8,1,2,1,2,0,0,.148758
1,5054,21,8,1,2,1,2,0,1,.015103
