NAICS, region, gravity, DAVgrid, DAV, orderedvio, laginv, lag2inv, value
21, 1, 5, 12, 6, 1, 0, 0, -24.8792
21, 1, 5, 13, 6.5, 1, 0, 0, -31.4485
21, 1, 5, 14, 7, 1, 0, 0, -38.1591
21, 1, 5, 15, 7.5, 1, 0, 0, -44.7562
21, 1, 5, 16, 8, 1, 0, 0, -51.0383
21, 1, 5, 17, 8.5, 1, 0, 0, -56.8282
21, 1, 5, 18, 9, 1, 0, 0, -61.8934
21, 1, 5, 19, 9.5, 1, 0, 0, -65.6287
21, 1, 5, 0, 0, 2, 0, 0, -0.945592
21, 1, 5, 1, 0.5, 2, 0, 0, -1.14041
21, 1, 5, 2, 1, 2, 0, 0, -1.42081
21, 1, 5, 3, 1.5, 2, 0, 0, -1.81568
21, 1, 5, 4, 2, 2, 0, 0, -2.3753
21, 1, 5, 5, 2.5, 2, 0, 0, -3.18427
21, 1, 5, 6, 3, 2, 0, 0, -4.34192
21, 1, 5, 7, 3.5, 2, 0, 0, -5.97323
21, 1, 5, 8, 4, 2, 0, 0, -8.21459
21, 1, 5, 9, 4.5, 2, 0, 0, -11.2011
21, 1, 5, 10, 5, 2, 0, 0, -15.0471
21, 1, 5, 11, 5.5, 2, 0, 0, -19.8352
21, 1, 5, 12, 6, 2, 0, 0, -25.3876
21, 1, 5, 13, 6.5, 2, 0, 0, -31.4833
21, 1, 5, 14, 7, 2, 0, 0, -37.8845
21, 1, 5, 15, 7.5, 2, 0, 0, -44.3625
21, 1, 5, 16, 8, 2, 0, 0, -50.7068
21, 1, 5, 17, 8.5, 2, 0, 0, -56.7129
21, 1, 5, 18, 9, 2, 0, 0, -62.1178
21, 1, 5, 19, 9.5, 2, 0, 0, -66.309
21, 1, 5, 0, 0, 1, 0, 1, 0.774157
21, 1, 5, 1, 0.5, 1, 0, 1, 0.655299
21, 1, 5, 2, 1, 1, 0, 1, 0.48592
21, 1, 5, 3, 1.5, 1, 0, 1, 0.226586
21, 1, 5, 4, 2, 1, 0, 1, -0.190489
21, 1, 5, 5, 2.5, 1, 0, 1, -0.860221
21, 1, 5, 6, 3, 1, 0, 1, -1.91534
21, 1, 5, 7, 3.5, 1, 0, 1, -3.52569
21, 1, 5, 8, 4, 1, 0, 1, -5.86549
21, 1, 5, 9, 4.5, 1, 0, 1, -9.09173
21, 1, 5, 10, 5, 1, 0, 1, -13.315
21, 1, 5, 11, 5.5, 1, 0, 1, -18.5578
21, 1, 5, 12, 6, 1, 0, 1, -24.5524
21, 1, 5, 13, 6.5, 1, 0, 1, -31.03
21, 1, 5, 14, 7, 1, 0, 1, -37.6979
21, 1, 5, 15, 7.5, 1, 0, 1, -44.3172
21, 1, 5, 16, 8, 1, 0, 1, -50.6666
21, 1, 5, 17, 8.5, 1, 0, 1, -56.5517
21, 1, 5, 18, 9, 1, 0, 1, -61.7194
21, 1, 5, 19, 9.5, 1, 0, 1, -65.5449
21, 1, 5, 0, 0, 2, 0, 1, -0.922883
21, 1, 5, 1, 0.5, 2, 0, 1, -1.13425
21, 1, 5, 2, 1, 2, 0, 1, -1.43516
21, 1, 5, 3, 1.5, 2, 0, 1, -1.85405
21, 1, 5, 4, 2, 2, 0, 1, -2.45779
21, 1, 5, 5, 2.5, 2, 0, 1, -3.32156
21, 1, 5, 6, 3, 2, 0, 1, -4.55755
21, 1, 5, 7, 3.5, 2, 0, 1, -6.2901
21, 1, 5, 8, 4, 2, 0, 1, -8.65454
21, 1, 5, 9, 4.5, 2, 0, 1, -11.7812
21, 1, 5, 10, 5, 2, 0, 1, -15.7752
21, 1, 5, 11, 5.5, 2, 0, 1, -20.6927
21, 1, 5, 12, 6, 2, 0, 1, -26.3323
21, 1, 5, 13, 6.5, 2, 0, 1, -32.4672
21, 1, 5, 14, 7, 2, 0, 1, -38.8623
21, 1, 5, 15, 7.5, 2, 0, 1, -45.2956
21, 1, 5, 16, 8, 2, 0, 1, -51.5681
21, 1, 5, 17, 8.5, 2, 0, 1, -57.4827
21, 1, 5, 18, 9, 2, 0, 1, -62.7756
21, 1, 5, 19, 9.5, 2, 0, 1, -66.8355
21, 1, 5, 0, 0, 1, 1, 0, 0.659292
21, 1, 5, 1, 0.5, 1, 1, 0, 0.543189
21, 1, 5, 2, 1, 1, 1, 0, 0.38737
21, 1, 5, 3, 1.5, 1, 1, 0, 0.160773
21, 1, 5, 4, 2, 1, 1, 0, -0.19209
21, 1, 5, 5, 2.5, 1, 1, 0, -0.751305
21, 1, 5, 6, 3, 1, 1, 0, -1.63243
21, 1, 5, 7, 3.5, 1, 1, 0, -2.99744
21, 1, 5, 8, 4, 1, 1, 0, -5.02435
21, 1, 5, 9, 4.5, 1, 1, 0, -7.90021
21, 1, 5, 10, 5, 1, 1, 0, -11.7862
21, 1, 5, 11, 5.5, 1, 1, 0, -16.7718
21, 1, 5, 12, 6, 1, 1, 0, -22.6616
21, 1, 5, 13, 6.5, 1, 1, 0, -29.2158
21, 1, 5, 14, 7, 1, 1, 0, -36.1096
21, 1, 5, 15, 7.5, 1, 1, 0, -43.0489
21, 1, 5, 16, 8, 1, 1, 0, -49.7418
21, 1, 5, 17, 8.5, 1, 1, 0, -55.9403
21, 1, 5, 18, 9, 1, 1, 0, -61.3553
21, 1, 5, 19, 9.5, 1, 1, 0, -65.3649
21, 1, 5, 0, 0, 2, 1, 0, 0.0501335
21, 1, 5, 1, 0.5, 2, 1, 0, 0.00932644
21, 1, 5, 2, 1, 2, 1, 0, -0.0867593
21, 1, 5, 3, 1.5, 2, 1, 0, -0.274592
21, 1, 5, 4, 2, 2, 1, 0, -0.620593
21, 1, 5, 5, 2.5, 2, 1, 0, -1.21187
21, 1, 5, 6, 3, 2, 1, 0, -2.17424
21, 1, 5, 7, 3.5, 2, 1, 0, -3.6466
21, 1, 5, 8, 4, 2, 1, 0, -5.78808
21, 1, 5, 9, 4.5, 2, 1, 0, -8.74143
21, 1, 5, 10, 5, 2, 1, 0, -12.6229
21, 1, 5, 11, 5.5, 2, 1, 0, -17.5131
21, 1, 5, 12, 6, 2, 1, 0, -23.2291
21, 1, 5, 13, 6.5, 2, 1, 0, -29.5281
21, 1, 5, 14, 7, 2, 1, 0, -36.1531
21, 1, 5, 15, 7.5, 2, 1, 0, -42.8409
21, 1, 5, 16, 8, 2, 1, 0, -49.3504
21, 1, 5, 17, 8.5, 2, 1, 0, -55.4602
21, 1, 5, 18, 9, 2, 1, 0, -60.9034
21, 1, 5, 19, 9.5, 2, 1, 0, -65.1162
21, 1, 5, 0, 0, 1, 1, 1, 0.480223
21, 1, 5, 1, 0.5, 1, 1, 1, 0.36962
21, 1, 5, 2, 1, 1, 1, 1, 0.228412
21, 1, 5, 3, 1.5, 1, 1, 1, 0.0289398
21, 1, 5, 4, 2, 1, 1, 1, -0.280127
21, 1, 5, 5, 2.5, 1, 1, 1, -0.777031
21, 1, 5, 6, 3, 1, 1, 1, -1.57588
21, 1, 5, 7, 3.5, 1, 1, 1, -2.83893
21, 1, 5, 8, 4, 1, 1, 1, -4.74931
21, 1, 5, 9, 4.5, 1, 1, 1, -7.50192
21, 1, 5, 10, 5, 1, 1, 1, -11.272
21, 1, 5, 11, 5.5, 1, 1, 1, -16.1402
21, 1, 5, 12, 6, 1, 1, 1, -21.9421
21, 1, 5, 13, 6.5, 1, 1, 1, -28.4471
21, 1, 5, 14, 7, 1, 1, 1, -35.3469
21, 1, 5, 15, 7.5, 1, 1, 1, -42.3457
21, 1, 5, 16, 8, 1, 1, 1, -49.138
21, 1, 5, 17, 8.5, 1, 1, 1, -55.4631
21, 1, 5, 18, 9, 1, 1, 1, -61.0121
