momset,momnum,naics,region,gravity,davgrid,dav,orderedvio,laginv,violation,datamoment
1,3142,21,5,4,2,1,1,1,0,.00008217
1,3162,21,5,4,2,1,1,1,1,0
1,3182,21,5,4,2,1,2,1,0,.00064189
1,3202,21,5,4,2,1,2,1,1,0
1,3223,21,5,5,2,1,1,0,0,.00226254
1,3243,21,5,5,2,1,1,0,1,.0001651
1,3263,21,5,5,2,1,2,0,0,.00045708
1,3283,21,5,5,2,1,2,0,1,.00001722
1,3303,21,5,5,2,1,1,1,0,0
1,3323,21,5,5,2,1,1,1,1,0
1,3343,21,5,5,2,1,2,1,0,0
1,3363,21,5,5,2,1,2,1,1,0
1,3384,21,6,1,2,1,1,0,0,.00365364
1,3404,21,6,1,2,1,1,0,1,.00007467
1,3424,21,6,1,2,1,2,0,0,.00346736
1,3444,21,6,1,2,1,2,0,1,.00020723
1,3464,21,6,1,2,1,1,1,0,.00059068
1,3484,21,6,1,2,1,1,1,1,.00004274
1,3504,21,6,1,2,1,2,1,0,.00008321
1,3524,21,6,1,2,1,2,1,1,.00005743
1,3545,21,6,2,2,1,1,0,0,.00248255
1,3565,21,6,2,2,1,1,0,1,.00003758
1,3585,21,6,2,2,1,2,0,0,.001422
1,3605,21,6,2,2,1,2,0,1,.00003618
1,3625,21,6,2,2,1,1,1,0,.00040381
1,3645,21,6,2,2,1,1,1,1,0
1,3665,21,6,2,2,1,2,1,0,.000022
1,3685,21,6,2,2,1,2,1,1,.00001466
1,3706,21,6,3,2,1,1,0,0,.00523298
1,3726,21,6,3,2,1,1,0,1,0
1,3746,21,6,3,2,1,2,0,0,.00781337
1,3766,21,6,3,2,1,2,0,1,.00037678
1,3786,21,6,3,2,1,1,1,0,.0008452
1,3806,21,6,3,2,1,1,1,1,0
1,3826,21,6,3,2,1,2,1,0,.00019827
1,3846,21,6,3,2,1,2,1,1,0
1,3867,21,6,4,2,1,1,0,0,.00398537
1,3887,21,6,4,2,1,1,0,1,.00007257
1,3907,21,6,4,2,1,2,0,0,.00087092
1,3927,21,6,4,2,1,2,0,1,.00003442
1,3947,21,6,4,2,1,1,1,0,.00035828
1,3967,21,6,4,2,1,1,1,1,9.236e-06
1,3987,21,6,4,2,1,2,1,0,1.743e-07
1,4007,21,6,4,2,1,2,1,1,5.767e-06
1,4028,21,6,5,2,1,1,0,0,.00122988
1,4048,21,6,5,2,1,1,0,1,0
1,4068,21,6,5,2,1,2,0,0,.0184775
1,4088,21,6,5,2,1,2,0,1,.00363591
1,4108,21,6,5,2,1,1,1,0,.00114214
1,4128,21,6,5,2,1,1,1,1,0
1,4148,21,6,5,2,1,2,1,0,0
1,4168,21,6,5,2,1,2,1,1,0
1,4189,21,7,1,2,1,1,0,0,.00124059
1,4209,21,7,1,2,1,1,0,1,0
1,4229,21,7,1,2,1,2,0,0,.00025646
1,4249,21,7,1,2,1,2,0,1,0
1,4269,21,7,1,2,1,1,1,0,.00013693
1,4289,21,7,1,2,1,1,1,1,0
1,4309,21,7,1,2,1,2,1,0,0
1,4329,21,7,1,2,1,2,1,1,0
1,4350,21,7,2,2,1,1,0,0,.00012015
1,4370,21,7,2,2,1,1,0,1,0
1,4390,21,7,2,2,1,2,0,0,0
1,4410,21,7,2,2,1,2,0,1,0
1,4430,21,7,2,2,1,1,1,0,0
1,4450,21,7,2,2,1,1,1,1,0
1,4470,21,7,2,2,1,2,1,0,0
1,4490,21,7,2,2,1,2,1,1,0
1,4511,21,7,3,2,1,1,0,0,.00265316
1,4531,21,7,3,2,1,1,0,1,.00072537
1,4551,21,7,3,2,1,2,0,0,0
1,4571,21,7,3,2,1,2,0,1,0
1,4591,21,7,3,2,1,1,1,0,0
1,4611,21,7,3,2,1,1,1,1,0
1,4631,21,7,3,2,1,2,1,0,0
1,4651,21,7,3,2,1,2,1,1,0
1,4672,21,7,4,2,1,1,0,0,.00101884
1,4692,21,7,4,2,1,1,0,1,0
1,4712,21,7,4,2,1,2,0,0,.00138637
1,4732,21,7,4,2,1,2,0,1,0
1,4752,21,7,4,2,1,1,1,0,0
1,4772,21,7,4,2,1,1,1,1,0
1,4792,21,7,4,2,1,2,1,0,0
1,4812,21,7,4,2,1,2,1,1,0
1,4833,21,7,5,2,1,1,0,0,0
1,4853,21,7,5,2,1,1,0,1,0
1,4873,21,7,5,2,1,2,0,0,0
1,4893,21,7,5,2,1,2,0,1,0
1,4913,21,7,5,2,1,1,1,0,0
1,4933,21,7,5,2,1,1,1,1,0
1,4953,21,7,5,2,1,2,1,0,0
1,4973,21,7,5,2,1,2,1,1,0
1,4994,21,8,1,2,1,1,0,0,.00131858
1,5014,21,8,1,2,1,1,0,1,0
1,5034,21,8,1,2,1,2,0,0,.00023537
1,5054,21,8,1,2,1,2,0,1,.00003789
1,5074,21,8,1,2,1,1,1,0,.00070186
1,5094,21,8,1,2,1,1,1,1,0
1,5114,21,8,1,2,1,2,1,0,.00002613
1,5134,21,8,1,2,1,2,1,1,0
1,5155,21,8,2,2,1,1,0,0,.00144214
1,5175,21,8,2,2,1,1,0,1,0
1,5195,21,8,2,2,1,2,0,0,.00083679
1,5215,21,8,2,2,1,2,0,1,0
1,5235,21,8,2,2,1,1,1,0,.00034578
1,5255,21,8,2,2,1,1,1,1,.00034578
1,5275,21,8,2,2,1,2,1,0,0
1,5295,21,8,2,2,1,2,1,1,0
1,5316,21,8,3,2,1,1,0,0,.00134075
1,5336,21,8,3,2,1,1,0,1,0
1,5356,21,8,3,2,1,2,0,0,.00050621
1,5376,21,8,3,2,1,2,0,1,0
1,5396,21,8,3,2,1,1,1,0,.00025527
1,5416,21,8,3,2,1,1,1,1,.00001087
1,5436,21,8,3,2,1,2,1,0,0
1,5456,21,8,3,2,1,2,1,1,0
1,5477,21,8,4,2,1,1,0,0,.00113205
1,5497,21,8,4,2,1,1,0,1,.00001546
1,5517,21,8,4,2,1,2,0,0,.00075919
1,5537,21,8,4,2,1,2,0,1,0
1,5557,21,8,4,2,1,1,1,0,.00026985
1,5577,21,8,4,2,1,1,1,1,.00001191
1,5597,21,8,4,2,1,2,1,0,.00013247
1,5617,21,8,4,2,1,2,1,1,0
1,5638,21,8,5,2,1,1,0,0,.00071499
1,5658,21,8,5,2,1,1,0,1,.00004311
1,5678,21,8,5,2,1,2,0,0,.00014951
1,5698,21,8,5,2,1,2,0,1,6.149e-06
1,5718,21,8,5,2,1,1,1,0,.00028426
1,5738,21,8,5,2,1,1,1,1,5.389e-06
1,5758,21,8,5,2,1,2,1,0,.0000582
1,5778,21,8,5,2,1,2,1,1,5.389e-06
1,5799,21,9,1,2,1,1,0,0,0
1,5819,21,9,1,2,1,1,0,1,0
1,5839,21,9,1,2,1,2,0,0,.0187457
1,5859,21,9,1,2,1,2,0,1,.00152393
1,5879,21,9,1,2,1,1,1,0,0
1,5899,21,9,1,2,1,1,1,1,0
1,5919,21,9,1,2,1,2,1,0,0
1,5939,21,9,1,2,1,2,1,1,0
1,5960,21,9,2,2,1,1,0,0,0
1,5980,21,9,2,2,1,1,0,1,0
1,6000,21,9,2,2,1,2,0,0,.0246914
1,6020,21,9,2,2,1,2,0,1,.0123457
1,6040,21,9,2,2,1,1,1,0,0
1,6060,21,9,2,2,1,1,1,1,0
1,6080,21,9,2,2,1,2,1,0,0
1,6100,21,9,2,2,1,2,1,1,0
1,6121,21,9,3,2,1,1,0,0,0
1,6141,21,9,3,2,1,1,0,1,0
1,6161,21,9,3,2,1,2,0,0,0
1,6181,21,9,3,2,1,2,0,1,0
1,6201,21,9,3,2,1,1,1,0,0
1,6221,21,9,3,2,1,1,1,1,0
1,6241,21,9,3,2,1,2,1,0,0
1,6261,21,9,3,2,1,2,1,1,0
1,6282,21,9,4,2,1,1,0,0,0
1,6302,21,9,4,2,1,1,0,1,0
1,6322,21,9,4,2,1,2,0,0,.00062893
1,6342,21,9,4,2,1,2,0,1,0
1,6362,21,9,4,2,1,1,1,0,0
1,6382,21,9,4,2,1,1,1,1,0
1,6402,21,9,4,2,1,2,1,0,0
1,6422,21,9,4,2,1,2,1,1,0
1,6443,21,9,5,2,1,1,0,0,.00306281
1,6463,21,9,5,2,1,1,0,1,0
1,6483,21,9,5,2,1,2,0,0,.0293067
1,6503,21,9,5,2,1,2,0,1,.00728244
1,6523,21,9,5,2,1,1,1,0,.00232
1,6543,21,9,5,2,1,1,1,1,.00016354
1,6563,21,9,5,2,1,2,1,0,.00076677
1,6583,21,9,5,2,1,2,1,1,.00207527
1,6604,21,10,1,2,1,1,0,0,0
1,6624,21,10,1,2,1,1,0,1,0
1,6644,21,10,1,2,1,2,0,0,0
1,6664,21,10,1,2,1,2,0,1,0
1,6684,21,10,1,2,1,1,1,0,0
1,6704,21,10,1,2,1,1,1,1,0
1,6724,21,10,1,2,1,2,1,0,0
1,6744,21,10,1,2,1,2,1,1,0
1,6765,21,10,2,2,1,1,0,0,0
1,6785,21,10,2,2,1,1,0,1,0
1,6805,21,10,2,2,1,2,0,0,0
1,6825,21,10,2,2,1,2,0,1,0
1,6845,21,10,2,2,1,1,1,0,0
1,6865,21,10,2,2,1,1,1,1,0
1,6885,21,10,2,2,1,2,1,0,0
1,6905,21,10,2,2,1,2,1,1,0
1,6926,21,10,4,2,1,1,0,0,.00111594
1,6946,21,10,4,2,1,1,0,1,0
1,6966,21,10,4,2,1,2,0,0,.00459013
1,6986,21,10,4,2,1,2,0,1,0
1,7006,21,10,4,2,1,1,1,0,.00082816
1,7026,21,10,4,2,1,1,1,1,0
1,7046,21,10,4,2,1,2,1,0,0
1,7066,21,10,4,2,1,2,1,1,0
1,7087,21,10,5,2,1,1,0,0,0
1,7107,21,10,5,2,1,1,0,1,0
1,7127,21,10,5,2,1,2,0,0,0
1,7147,21,10,5,2,1,2,0,1,0
1,7167,21,10,5,2,1,1,1,0,0
1,7187,21,10,5,2,1,1,1,1,0
1,7207,21,10,5,2,1,2,1,0,0
1,7227,21,10,5,2,1,2,1,1,0
2,2,21,1,1,2,1,1,0,0,0
2,22,21,1,1,2,1,1,0,1,0
2,42,21,1,1,2,1,2,0,0,.00059796
2,62,21,1,1,2,1,2,0,1,0
2,82,21,1,1,2,1,1,1,0,0
2,102,21,1,1,2,1,1,1,1,0
2,122,21,1,1,2,1,2,1,0,0
2,142,21,1,1,2,1,2,1,1,0
2,162,21,1,4,2,1,1,0,0,0
2,182,21,1,4,2,1,1,0,1,0
2,202,21,1,4,2,1,2,0,0,0
2,222,21,1,4,2,1,2,0,1,0
2,242,21,1,4,2,1,1,1,0,0
2,262,21,1,4,2,1,1,1,1,0
2,282,21,1,4,2,1,2,1,0,0
2,302,21,1,4,2,1,2,1,1,0
2,322,21,1,5,2,1,1,0,0,0
2,342,21,1,5,2,1,1,0,1,0
2,362,21,1,5,2,1,2,0,0,0
2,382,21,1,5,2,1,2,0,1,0
2,402,21,1,5,2,1,1,1,0,0
2,422,21,1,5,2,1,1,1,1,0
2,442,21,1,5,2,1,2,1,0,0
2,462,21,1,5,2,1,2,1,1,0
2,482,21,2,1,2,1,1,0,0,.00012306
2,502,21,2,1,2,1,1,0,1,0
2,522,21,2,1,2,1,2,0,0,0
2,542,21,2,1,2,1,2,0,1,0
2,562,21,2,1,2,1,1,1,0,0
2,582,21,2,1,2,1,1,1,1,0
2,602,21,2,1,2,1,2,1,0,0
2,622,21,2,1,2,1,2,1,1,0
2,642,21,2,4,2,1,1,0,0,0
2,662,21,2,4,2,1,1,0,1,0
2,682,21,2,4,2,1,2,0,0,.00180505
2,702,21,2,4,2,1,2,0,1,0
2,722,21,2,4,2,1,1,1,0,0
2,742,21,2,4,2,1,1,1,1,0
2,762,21,2,4,2,1,2,1,0,0
2,782,21,2,4,2,1,2,1,1,0
2,802,21,2,5,2,1,1,0,0,0
2,822,21,2,5,2,1,1,0,1,0
2,842,21,2,5,2,1,2,0,0,.00078064
2,862,21,2,5,2,1,2,0,1,0
2,882,21,2,5,2,1,1,1,0,0
2,902,21,2,5,2,1,1,1,1,0
2,922,21,2,5,2,1,2,1,0,0
2,942,21,2,5,2,1,2,1,1,0
2,962,21,3,1,2,1,1,0,0,.00083858
2,982,21,3,1,2,1,1,0,1,0
2,1002,21,3,1,2,1,2,0,0,.00022038
2,1022,21,3,1,2,1,2,0,1,.00018465
2,1042,21,3,1,2,1,1,1,0,.00038982
2,1062,21,3,1,2,1,1,1,1,0
2,1082,21,3,1,2,1,2,1,0,0
2,1102,21,3,1,2,1,2,1,1,0
