NAICS, region, gravity, DAVgrid, DAV, orderedvio, laginv, violation, value
21, 1, 4, 6, 3, 2, 1, 1, -5.27117
21, 1, 4, 7, 3.5, 2, 1, 1, -6.95066
21, 1, 4, 8, 4, 2, 1, 1, -9.07679
21, 1, 4, 9, 4.5, 2, 1, 1, -11.7046
21, 1, 4, 10, 5, 2, 1, 1, -14.8811
21, 1, 4, 11, 5.5, 2, 1, 1, -18.5766
21, 1, 4, 12, 6, 2, 1, 1, -22.6268
21, 1, 4, 13, 6.5, 2, 1, 1, -26.9297
21, 1, 4, 14, 7, 2, 1, 1, -31.3818
21, 1, 4, 15, 7.5, 2, 1, 1, -35.8802
21, 1, 4, 16, 8, 2, 1, 1, -40.3164
21, 1, 4, 17, 8.5, 2, 1, 1, -44.5567
21, 1, 4, 18, 9, 2, 1, 1, -48.3763
21, 1, 4, 19, 9.5, 2, 1, 1, -51.1877
21, 1, 5, 0, 0, 0, 0, 0, -0.0970067
21, 1, 5, 0, 0, 1, 0, 0, 0.859084
21, 1, 5, 1, 0.5, 1, 0, 0, 0.75896
21, 1, 5, 2, 1, 1, 0, 0, 0.62036
21, 1, 5, 3, 1.5, 1, 0, 0, 0.416679
21, 1, 5, 4, 2, 1, 0, 0, 0.104013
21, 1, 5, 5, 2.5, 1, 0, 0, -0.377574
21, 1, 5, 6, 3, 1, 0, 0, -1.10923
21, 1, 5, 7, 3.5, 1, 0, 0, -2.19594
21, 1, 5, 8, 4, 1, 0, 0, -3.75943
21, 1, 5, 9, 4.5, 1, 0, 0, -5.92174
21, 1, 5, 10, 5, 1, 0, 0, -8.79278
21, 1, 5, 11, 5.5, 1, 0, 0, -12.5585
21, 1, 5, 12, 6, 1, 0, 0, -17.1408
21, 1, 5, 13, 6.5, 1, 0, 0, -22.3623
21, 1, 5, 14, 7, 1, 0, 0, -28.0416
21, 1, 5, 15, 7.5, 1, 0, 0, -33.9761
21, 1, 5, 16, 8, 1, 0, 0, -39.9604
21, 1, 5, 17, 8.5, 1, 0, 0, -45.8073
21, 1, 5, 18, 9, 1, 0, 0, -51.3591
21, 1, 5, 19, 9.5, 1, 0, 0, -56.4807
21, 1, 5, 0, 0, 1, 0, 1, 0.588491
21, 1, 5, 1, 0.5, 1, 0, 1, 0.367592
21, 1, 5, 2, 1, 1, 0, 1, 0.0243445
21, 1, 5, 3, 1.5, 1, 0, 1, -0.506443
21, 1, 5, 4, 2, 1, 0, 1, -1.31391
21, 1, 5, 5, 2.5, 1, 0, 1, -2.51099
